Year,Type,Generated
1997,Hydro,15733
1998,Hydro,16563
1999,Hydro,16720
2000,Hydro,16933
2001,Hydro,16054
2002,Hydro,16490
2003,Hydro,16331
2004,Hydro,15612
2005,Hydro,16029
2006,Hydro,14517
2007,Hydro,12057
2008,Hydro,11869
2009,Hydro,13549
2010,Hydro,16807
2011,Hydro,14083
2012,Hydro,18270
2013,Hydro,18421
2014,Hydro,13445
2015,Hydro,15318
2016,Hydro,16285
2017,Hydro,16021
2018,Hydro,15967
2019,Hydro,15150
2020,Hydro,15200
2021,Hydro,17011
1997,Wind,8
1998,Wind,28
1999,Wind,58
2000,Wind,210
2001,Wind,364
2002,Wind,703
2003,Wind,705
2004,Wind,885
2005,Wind,1713
2006,Wind,2611
2007,Wind,3093
2008,Wind,3824
2009,Wind,5052
2010,Wind,6085
2011,Wind,6970
2012,Wind,7960
2013,Wind,10252
2014,Wind,11467
2015,Wind,12200
2016,Wind,12597
2017,Wind,15174
2018,Wind,17712
2019,Wind,20396
2020,Wind,24535
2021,Wind,29108
1997,Solar,34
1998,Solar,38
1999,Solar,44
2000,Solar,50
2001,Solar,58
2002,Solar,58
2003,Solar,68
2004,Solar,78
2005,Solar,90
2006,Solar,105
2007,Solar,123
2008,Solar,156
2009,Solar,425
2010,Solar,1530
2011,Solar,2559
2012,Solar,3826
2013,Solar,4416
2014,Solar,5531
2015,Solar,6838
2016,Solar,8072
2017,Solar,9930
2018,Solar,14849
2019,Solar,21033
2020,Solar,27717
2021,Solar,34687
1997,Bioenergy,1029
1998,Bioenergy,1133
1999,Bioenergy,1134
2000,Bioenergy,645
2001,Bioenergy,950
2002,Bioenergy,1584
2003,Bioenergy,1800
2004,Bioenergy,3830
2005,Bioenergy,3911
2006,Bioenergy,3953
2007,Bioenergy,4596
2008,Bioenergy,2795
2009,Bioenergy,2777
2010,Bioenergy,2102
2011,Bioenergy,3044
2012,Bioenergy,3144
2013,Bioenergy,3499
2014,Bioenergy,3592
2015,Bioenergy,3790
2016,Bioenergy,3501
2017,Bioenergy,3518
2018,Bioenergy,3496
2019,Bioenergy,3352
2020,Bioenergy,3346
2021,Bioenergy,3190
