Generated,Type,Year,Region
534.6,Coal,2021,NSW
547.2,Oil,2021,NSW
145.3,Gas,2021,NSW
125.4,Renewables,2021,NSW
692.7,Coal,2011,NSW
687.4,Oil,2011,NSW
142.1,Gas,2011,NSW
71.1,Renewables,2011,NSW
410.7,Coal,2021,VIC
410.0,Oil,2021,VIC
237.5,Gas,2021,VIC
105.2,Renewables,2021,VIC
705.7,Coal,2011,VIC
469.3,Oil,2011,VIC
263.6,Gas,2011,VIC
41.0,Renewables,2011,VIC
485.6,Coal,2021,QLD
504.7,Oil,2021,QLD
305.7,Gas,2021,QLD
143.0,Renewables,2021,QLD
481.5,Coal,2011,QLD
504.8,Oil,2011,QLD
246.1,Gas,2011,QLD
99.7,Renewables,2011,QLD
121.1,Coal,2021,WA
422.5,Oil,2021,WA
673.1,Gas,2021,WA
41.2,Renewables,2021,WA
125.0,Coal,2011,WA
339.5,Oil,2011,WA
503.4,Gas,2011,WA
17.0,Renewables,2011,WA
25.9,Coal,2021,SA
141.6,Oil,2021,SA
80.2,Gas,2021,SA
48.3,Renewables,2021,SA
60.9,Coal,2011,SA
89.4,Oil,2011,SA
125.2,Gas,2011,SA
24.7,Renewables,2011,SA
8.8,Coal,2021,TAS
39.9,Oil,2021,TAS
7.1,Gas,2021,TAS
48.1,Renewables,2021,TAS
8.9,Coal,2011,TAS
38.1,Oil,2011,TAS
16.2,Gas,2011,TAS
39.8,Renewables,2011,TAS
37.6,Oil,2021,NT
110.6,Gas,2021,NT
1.6,Renewables,2021,NT
55.7,Oil,2011,NT
42.0,Gas,2011,NT
0.5,Renewables,2011,NT
